@relation R_data_frame

@attribute X numeric
@attribute Central.Equatoria {Average,High,Low}
@attribute Eastern.Equatoria {Average,High,Low}
@attribute Gogrial {High}
@attribute Jonglei {Average,High,Low}
@attribute Lakes {Average,High,Low}
@attribute Northern.Bahr.el.Ghazal {Average,High}
@attribute Unity {Average,High,Low}
@attribute Upper.Nile {Average,High,Low}
@attribute Warrap {Average,High,Low}
@attribute Western.Bahr.el.Ghazal {Average,High,Low}
@attribute Western.Equatoria {Average,High,Low}
@attribute Battle.Government.regains.territory {Average,High}
@attribute Battle.No.change.of.territory {Average,High,Low}
@attribute Battle.Non.state.actor.overtakes.territory {Average,High,Low}
@attribute Headquarters.or.base.established {High}
@attribute Non.violent.transfer.of.territory {High}
@attribute Remote.violence {Average,High,Low}
@attribute Riots.Protests {Average,High,Low}
@attribute Strategic.development {Average,High,Low}
@attribute Violence.against.civilians {Average,High,Low}
@attribute total_events_y {Average,High,Low}
@attribute total_refugees {Average,High,Low}
28,High,High,High,High,Low,Average,Average,High,Low,Average,Average,High,High,Low,High,High,High,Low,High,High,High,Average,High,High,High,High,High,High,Average,Average,Average,Average
29,High,High,High,High,Average,Average,Average,High,Average,High,High,High,Average,Average,High,High,Average,High,High,High,High,Average,High,High,High,Average,High,High,Average,Average,Average,Average
30,High,High,High,High,High,High,Average,High,High,High,Average,High,High,High,High,High,Average,High,Average,High,High,Average,High,Average,High,Average,Low,High,High,Average,Average,Average
31,High,Average,High,High,High,Average,Average,High,High,Average,High,High,High,Average,High,High,Low,Average,High,High,High,Average,High,High,Average,High,High,High,High,Average,Average,High
32,High,High,High,Low,High,High,Low,High,High,High,High,High,Average,High,High,High,Low,Average,High,Average,High,High,High,High,Average,High,Average,High,High,High,High,High
33,Average,High,High,High,Average,Average,Average,High,High,Average,Average,High,High,High,High,High,High,Average,Average,High,High,High,High,High,Average,Average,Average,High,High,High,High,High
34,High,High,High,Low,High,High,Average,High,High,Average,Average,Average,Average,High,High,High,Low,Low,Average,High,Average,High,High,High,High,Average,High,High,High,High,High,High
35,Average,Average,High,Average,High,Average,High,Average,High,Low,High,Average,Average,High,High,High,Average,High,High,Average,High,High,Low,High,High,Average,Low,High,Average,High,High,Average
36,High,Average,High,High,Average,High,Average,Low,High,Low,High,Average,High,High,High,High,High,High,Average,Low,High,High,Low,Average,High,Average,Low,High,High,High,High,High
37,High,High,High,High,High,Average,High,Low,Average,Average,High,Average,High,High,High,High,Average,High,High,High,High,High,High,High,Average,Average,High,Average,Average,High,High,High
38,High,High,High,Average,High,High,High,Average,Average,Average,High,High,High,Low,High,High,Average,High,High,Low,High,High,Low,Average,Low,Low,Low,High,High,High,High,High
39,Average,Average,High,High,Low,Average,Average,Low,Average,Average,Average,Average,Average,Low,High,High,Average,Average,Average,Low,Average,High,Average,Average,Average,Average,Low,Low,High,High,High,High
40,Average,Average,High,High,Average,Average,High,Low,High,High,Low,Average,High,Low,High,High,Low,Average,Low,Average,Average,High,Average,Average,High,Low,Average,Low,High,High,High,High
41,Average,Average,High,High,Low,Average,Low,Average,High,Average,Low,Average,Average,Average,High,High,Average,Average,Low,Average,Low,High,Average,Average,High,Average,Low,Average,High,High,High,High
42,Average,Low,High,High,Low,High,High,Low,Low,Low,Low,Average,High,Low,High,High,Average,Low,Average,Low,Average,High,Low,Average,Average,Low,Low,Average,High,High,High,High
43,Low,Low,High,Low,Average,High,Low,Average,High,Average,High,Average,Low,Low,High,High,Low,Average,Average,Average,Low,High,Average,Average,Average,Low,Low,Low,High,High,High,High
44,Average,High,High,Low,Average,Average,Low,Low,Average,High,Average,High,Low,High,High,High,Low,Low,Average,Average,Low,High,Low,Average,Average,Low,Average,Low,High,High,High,High
45,High,Average,High,Average,High,Average,Low,Low,Low,Average,Average,Average,Low,Low,High,High,Low,Low,High,Low,Low,High,Average,Average,Low,Low,Low,Average,High,High,High,High
46,Average,Average,High,Low,Low,Average,Low,Low,High,Low,Low,High,Low,Low,High,High,Low,Average,High,Low,Low,High,Low,Average,Low,Low,Low,Average,High,High,High,High
47,High,Average,High,Low,Average,Average,Low,Low,Average,Low,Average,Average,Average,Average,High,High,Low,Low,High,Low,Low,High,Low,Average,Low,Low,Low,Average,High,High,High,High
48,High,Low,High,Average,High,Average,Low,Low,Low,High,Low,Average,High,Average,High,High,Low,High,High,Average,Average,High,Low,Average,Low,Low,Low,Low,High,High,High,High
