@relation R_data_frame

@attribute X numeric
@attribute Year numeric
@attribute Month numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute total_events_x numeric
@attribute Unnamed..0 numeric
@attribute timestamp numeric
@attribute individuals numeric
@attribute Day numeric
@attribute Diff numeric
@attribute DRC numeric
@attribute Ethiopia numeric
@attribute Kenya numeric
@attribute Sudan numeric
@attribute Uganda numeric
@attribute Battle.Government.regains.territory numeric
@attribute Battle.No.change.of.territory numeric
@attribute Battle.Non.state.actor.overtakes.territory numeric
@attribute Headquarters.or.base.established numeric
@attribute Non.violent.transfer.of.territory numeric
@attribute Remote.violence numeric
@attribute Riots.Protests numeric
@attribute Strategic.development numeric
@attribute Violence.against.civilians numeric
@attribute total_events_y numeric
@attribute most_likely_to {Ethiopia,Kenya,Sudan,Uganda}
@attribute second_likely_to {Ethiopia,Kenya,Sudan,Uganda}

@data
0,2014,10,6,1,0,3,12,1,8,14,0,1,2,48,3,1414713600,591356,31,1796,0,46751,10895,10631,7415,0,23,1,0,0,3,9,0,12,48,Ethiopia,Kenya
1,2014,11,4,3,0,12,2,0,3,12,2,3,3,44,4,1417305600,591356,30,0,0,46751,10895,10631,7415,2,20,1,0,0,6,6,0,9,44,Ethiopia,Kenya
2,2014,12,3,5,0,11,6,0,3,6,6,4,4,48,5,1419984000,616149,31,24793,0,-4026,2269,18848,7702,1,21,1,0,0,4,2,2,17,48,Sudan,Uganda
3,2015,1,7,2,0,4,6,1,13,16,1,8,3,61,6,1422662400,617634,31,1485,0,1485,2269,18848,7702,0,25,1,0,0,6,3,5,21,61,Sudan,Uganda
4,2015,2,5,5,0,10,2,0,8,20,2,1,2,55,7,1425081600,625069,28,7435,0,7435,2269,18848,7702,0,19,0,0,0,9,2,4,21,55,Sudan,Uganda
5,2015,3,7,5,0,8,3,1,11,17,3,5,5,65,8,1427760000,651450,31,26381,-13,1178,2843,13506,8867,2,32,3,0,0,6,6,1,15,65,Sudan,Uganda
6,2015,4,4,1,0,6,7,3,17,19,1,2,1,61,9,1430352000,655276,30,3826,0,3826,2843,13506,8867,2,32,0,0,0,7,1,4,15,61,Sudan,Uganda
7,2015,5,5,0,0,7,6,4,22,36,6,5,9,100,10,1433030400,662950,31,7674,0,7674,2843,13506,8867,10,42,12,0,1,2,2,1,30,100,Sudan,Uganda
8,2015,6,4,1,0,6,9,4,13,16,2,11,8,74,11,1435622400,740522,30,77572,0,2272,2769,58790,13741,1,34,8,0,1,4,7,1,18,74,Sudan,Uganda
9,2015,7,15,2,0,9,12,3,9,10,3,2,7,72,12,1438300800,748137,31,7615,0,7615,2769,58790,13741,0,22,2,0,1,3,5,6,33,72,Sudan,Uganda
10,2015,8,10,7,0,9,5,0,23,11,2,4,10,81,13,1440979200,753019,31,4882,0,4882,2769,58790,13741,0,47,4,0,0,1,7,1,21,81,Sudan,Uganda
11,2015,9,12,0,0,8,6,0,19,24,0,0,7,76,14,1443571200,769975,30,16956,0,1276,-4846,5302,15224,3,30,1,0,0,6,1,1,34,76,Uganda,Sudan
12,2015,10,12,0,0,5,5,2,25,8,6,4,5,72,15,1446249600,770138,31,163,0,163,-4846,5302,15224,0,28,1,0,0,3,5,5,30,72,Uganda,Sudan
13,2015,11,8,5,0,10,4,0,15,6,0,10,10,68,16,1448841600,762550,30,-7588,0,-7588,-4846,5302,15224,2,28,1,0,0,6,2,1,28,68,Uganda,Sudan
14,2015,12,5,7,0,3,4,0,5,8,1,13,18,64,17,1451520000,778072,31,15522,3813,270,5525,1355,4559,0,31,1,0,1,5,0,0,26,64,Uganda,Kenya
15,2016,1,16,0,0,5,0,1,1,4,4,11,15,57,18,1454198400,787180,31,9108,1130,1383,883,5204,508,0,23,0,1,0,5,0,0,28,57,Sudan,Ethiopia
