@relation R_data_frame

@attribute X numeric
@attribute Year numeric
@attribute Month numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute total_events numeric
@attribute Unnamed..0 numeric
@attribute date {2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-19,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-01,2017-09-15,2017-09-18,2017-09-30,2017-10-01,2017-10-15,2017-10-31,2017-11-15,2017-11-30,2017-12-15,2017-12-19,2017-12-31,2018-01-15,2018-01-31,2018-02-15,2018-02-28,2018-03-15,2018-03-31,2018-04-15,2018-04-30,2018-05-15,2018-05-31,2018-06-15,2018-06-30,2018-07-31,2018-08-15,2018-08-31,2018-09-15,2018-09-30,2018-10-31}
@attribute timestamp numeric
@attribute individuals numeric
@attribute Day numeric
@attribute Diff numeric
@attribute DRC numeric
@attribute Ethiopia numeric
@attribute Kenya numeric
@attribute Sudan numeric
@attribute Uganda numeric
@attribute Date date yyyy-MM-dd

@data
31,2017,4,26,14,0,37,8,3,10,17,7,21,5,148,34,2017-04-30,1493510400,1824837,30,54030,0,9557,1864,-3973,46582,2017-04-30
32,2017,5,39,4,0,14,11,0,8,20,4,7,9,116,35,2017-05-31,1496188800,1887218,31,62381,2139,2530,4566,24108,29038,2017-05-31
33,2017,6,20,7,0,4,7,4,4,37,4,8,11,106,36,2017-06-30,1498780800,1952229,30,65011,1280,2533,4186,7168,49844,2017-06-30
34,2017,7,15,7,0,12,3,1,9,38,4,4,5,98,37,2017-07-31,1501459200,1984010,31,31781,1547,1504,2000,9834,16896,2017-07-31
35,2017,8,21,5,0,4,9,2,8,12,4,7,5,77,38,2017-08-31,1504137600,2055153,31,71143,2030,5764,1323,42982,19044,2017-08-31
36,2017,9,13,4,0,6,10,0,19,7,7,3,10,79,39,2017-09-01,1504224000,2055153,1,0,2030,5764,1323,0,19044,2017-09-01
37,2017,9,13,4,0,6,10,0,19,7,7,3,10,79,40,2017-09-15,1505433600,2055930,15,777,2030,5764,1323,777,19044,2017-09-15
38,2017,9,13,4,0,6,10,0,19,7,7,3,10,79,41,2017-09-18,1505692800,2055930,18,0,2030,5764,1323,0,19044,2017-09-18
39,2017,9,13,4,0,6,10,0,19,7,7,3,10,79,42,2017-09-30,1506729600,2110380,30,54450,1074,28801,1155,0,23420,2017-09-30
40,2017,10,29,4,0,14,3,5,8,4,5,1,10,83,43,2017-10-01,1506816000,2105813,1,-4567,1074,28801,1155,-4567,23420,2017-10-01
41,2017,10,29,4,0,14,3,5,8,4,5,1,10,83,44,2017-10-15,1508025600,2108017,15,2204,1074,28801,1155,2204,23420,2017-10-15
42,2017,10,29,4,0,14,3,5,8,4,5,1,10,83,45,2017-10-31,1509408000,2112169,31,4152,1773,2005,1155,148,226,2017-10-31
43,2017,11,28,11,0,15,9,0,14,2,3,4,13,99,46,2017-11-15,1510704000,2456600,15,344431,1773,2005,1155,344431,226,2017-11-15
44,2017,11,28,11,0,15,9,0,14,2,3,4,13,99,47,2017-11-30,1512000000,2474970,30,18370,941,1118,533,-139,15917,2017-11-30
45,2017,12,20,5,0,6,7,3,15,6,2,7,8,79,48,2017-12-15,1513296000,2457216,15,-17754,941,1118,533,-17754,15917,2017-12-15
46,2017,12,20,5,0,6,7,3,15,6,2,7,8,79,49,2017-12-19,1513641600,2457667,19,451,941,1118,451,-17754,15917,2017-12-19
47,2017,12,20,5,0,6,7,3,15,6,2,7,8,79,50,2017-12-31,1514678400,2426049,31,-31618,830,1857,251,-19205,-15351,2017-12-31
48,2018,1,18,3,0,19,1,1,7,3,2,5,4,63,51,2018-01-15,1515974400,2427818,15,1769,830,1857,251,1769,-15351,2018-01-15
49,2018,1,18,3,0,19,1,1,7,3,2,5,4,63,52,2018-01-31,1517356800,2436675,31,8857,1033,7061,813,-50,-15351,2018-01-31
50,2018,2,12,4,0,10,5,0,14,4,5,8,2,64,53,2018-02-15,1518652800,2437280,15,605,1033,7061,605,-50,-15351,2018-02-15
51,2018,2,12,4,0,10,5,0,14,4,5,8,2,64,54,2018-02-28,1519776000,2463099,28,25819,1033,6155,9,3951,15704,2018-02-28
52,2018,3,16,4,0,13,2,0,2,10,4,4,0,55,55,2018-03-15,1521072000,2460064,15,-3035,1033,6155,349,-3384,15704,2018-03-15
53,2018,3,16,4,0,13,2,0,2,10,4,4,0,55,56,2018-03-31,1522454400,2467875,31,7811,1035,5236,702,838,15704,2018-03-31
54,2018,4,14,0,0,10,1,2,29,3,0,2,2,63,57,2018-04-15,1523750400,2471364,15,3489,1035,5236,457,3032,15704,2018-04-15
55,2018,4,14,0,0,10,1,2,29,3,0,2,2,63,58,2018-04-30,1525046400,2470248,30,-1116,313,-172,-801,-8750,8294,2018-04-30
56,2018,5,5,1,0,3,4,2,4,9,7,5,8,48,59,2018-05-15,1526342400,2472832,15,2584,313,-172,453,2131,8294,2018-05-15
57,2018,5,5,1,0,3,4,2,4,9,7,5,8,48,60,2018-05-31,1527724800,2481522,31,8690,1349,3205,490,-2099,5745,2018-05-31
58,2018,6,11,6,0,0,4,0,2,3,2,26,6,60,61,2018-06-15,1529020800,2484442,15,2920,1349,3205,490,2920,5745,2018-06-15
59,2018,6,11,6,0,0,4,0,2,3,2,26,6,60,62,2018-06-30,1530316800,2485950,30,1508,387,2129,-223,1758,-2543,2018-06-30
60,2018,7,21,4,0,5,8,0,6,1,0,5,4,54,63,2018-07-31,1532995200,2495764,31,9814,477,1230,76,1758,8031,2018-07-31
61,2018,8,18,4,0,4,1,0,2,1,4,1,1,36,64,2018-08-15,1534291200,2489548,15,-6216,477,1230,275,-6491,8031,2018-08-15
62,2018,8,18,4,0,4,1,0,2,1,4,1,1,36,65,2018-08-31,1535673600,2466250,31,-23298,431,-24471,-52,794,8031,2018-08-31
63,2018,9,28,4,0,1,5,0,5,0,2,3,4,52,66,2018-09-15,1536969600,2466014,15,-236,431,-24471,-52,-236,8031,2018-09-15
64,2018,9,28,4,0,1,5,0,5,0,2,3,4,52,67,2018-09-30,1538265600,2467911,30,1897,451,-24471,65,1381,8031,2018-09-30
65,2018,10,29,2,0,9,10,0,2,1,1,22,1,77,68,2018-10-31,1540944000,2181316,31,-286595,735,-24471,-439,1130,-288021,2018-10-31
