@relation R_data_frame

@attribute X numeric
@attribute Year numeric
@attribute Month numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute total_events_x numeric
@attribute Battle.Government.regains.territory numeric
@attribute Battle.No.change.of.territory numeric
@attribute Battle.Non.state.actor.overtakes.territory numeric
@attribute Headquarters.or.base.established numeric
@attribute Non.violent.transfer.of.territory numeric
@attribute Remote.violence numeric
@attribute Riots.Protests numeric
@attribute Strategic.development numeric
@attribute Violence.against.civilians numeric
@attribute total_events_y numeric
@attribute Diff numeric
@attribute DRC numeric
@attribute Ethiopia numeric
@attribute Kenya numeric
@attribute Sudan numeric
@attribute Uganda numeric
@attribute status {'Big Move','Middle Move','Small Move or Return'}

@data
23,2016,9,53,9,0,4,1,2,14,5,2,6,12,108,3,38,3,0,0,1,5,10,48,108,199703,24932,19032,965,4521,150253,'Big Move'
24,2016,10,37,26,0,5,4,2,11,15,1,8,11,120,1,45,4,0,0,0,4,10,56,120,141350,6287,20698,24,9959,104382,'Big Move'
25,2016,11,18,5,0,18,8,1,24,6,2,4,12,98,1,36,3,0,0,1,2,11,44,98,79295,4494,6803,-12,1451,66559,'Big Move'
26,2016,12,39,7,0,14,10,0,19,11,2,7,5,114,0,50,7,0,0,3,1,13,40,114,63376,1917,10678,-2833,33923,19691,'Big Move'
27,2017,1,29,6,0,8,2,1,9,31,0,8,9,103,4,45,4,0,0,2,2,10,36,103,95745,1516,3768,2473,7861,80127,'Big Move'
28,2017,2,22,8,0,22,2,1,9,28,0,4,4,100,5,42,0,0,0,9,0,11,33,100,117034,3341,6495,2749,27856,76593,'Big Move'
29,2017,3,34,11,0,15,5,0,12,13,3,10,9,112,2,37,2,0,0,2,6,11,52,112,63512,2914,11804,2210,37332,66100,'Big Move'
30,2017,4,26,14,0,37,8,3,10,17,7,21,5,148,8,52,4,0,0,1,6,7,70,148,54030,0,9557,1864,-3973,46582,'Big Move'
31,2017,5,39,4,0,14,11,0,8,20,4,7,9,116,2,57,1,0,0,0,3,16,37,116,62381,2139,2530,4566,24108,29038,'Big Move'
32,2017,6,20,7,0,4,7,4,4,37,4,8,11,106,26,34,4,0,1,0,2,11,28,106,65011,1280,2533,4186,7168,49844,'Big Move'
33,2017,7,15,7,0,12,3,1,9,38,4,4,5,98,5,44,4,0,0,5,3,8,29,98,31781,1547,1504,2000,9834,16896,'Big Move'
34,2017,8,21,5,0,4,9,2,8,12,4,7,5,77,1,33,3,0,0,0,1,7,32,77,71143,2030,5764,1323,42982,19044,'Big Move'
35,2017,9,13,4,0,6,10,0,19,7,7,3,10,79,1,33,3,0,0,1,5,10,26,79,13807,1791,11523,1281,194,20138,'Middle Move'
