@relation R_data_frame

@attribute X numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute Battle.Government.regains.territory numeric
@attribute Battle.No.change.of.territory numeric
@attribute Battle.Non.state.actor.overtakes.territory numeric
@attribute Headquarters.or.base.established numeric
@attribute Non.violent.transfer.of.territory numeric
@attribute Remote.violence numeric
@attribute Riots.Protests numeric
@attribute Strategic.development numeric
@attribute Violence.against.civilians numeric
@attribute total_events_y numeric
@attribute total_refugees numeric
@attribute refugees_move_out numeric
@attribute out_to_DRC numeric
@attribute out_to_Ethiopia numeric
@attribute out_to_Kenya numeric
@attribute out_to_Sudan numeric
@attribute out_to_uganda numeric
@attribute cereals.and.tubers numeric
@attribute non.food numeric
@attribute oil.and.fats numeric
@attribute pulses.and.nuts numeric

@data
18,0.074627,0,0,0.189189,0.25,0.714286,0.321429,0.052632,0.285714,0.653846,0.388889,0,0.478261,0,0,0,0.555556,0.363636,0.375,0.065574,0.223214,0.109445,0.505616,0.000561,0.347659,0.683609,0.137732,0.554931,0.129268,0.009021,0.091519,0.090309
19,0.149254,0.230769,0,0.162162,0.166667,0.285714,0.107143,0.078947,0.714286,0.230769,0.166667,0.038462,0.086957,0,0,0,0,0.363636,0.4375,0.229508,0.125,0.138421,0.702816,0.000521,0.362557,0.657716,0.15338,0.765857,0.14257,0.009772,0.124326,0.101011
20,0.134328,0.076923,0,0.054054,0.166667,0.142857,0.142857,0.026316,0,0.615385,0.111111,0,0.217391,0,0,0,0,0.090909,0.25,0.131148,0.0625,0.134329,0.573315,0.000521,0.345722,0,0.147989,0.668023,0.131257,0.014732,0.132481,0.091359
21,1,0.884615,0,0.108108,0.166667,0.571429,0.214286,0.078947,0.428571,0.5,0.222222,0.153846,0.978261,0.333333,0,1,0.777778,1,0.5625,0.52459,0.866071,0.143195,0.62406,0.000521,0.266252,0.631123,0.193528,0.677635,0.242536,0.022547,0.213988,0.175215
22,0.313433,0.307692,0,0.135135,0.166667,0.142857,0.464286,0.289474,0.142857,0.115385,0.277778,0.115385,0.434783,0.166667,0,0,0.666667,0.272727,0.3125,0.245902,0.339286,0.186895,0.760478,0.647144,0.361995,0.68383,0.143033,0.796182,0.389347,0.031368,0.278114,0.230472
23,0.746269,0.346154,0,0.108108,0.083333,0.285714,0.464286,0.131579,0.285714,0.230769,0.666667,0.115385,0.586957,0.25,0,0,0.111111,0.454545,0.625,0.639344,0.642857,0.291759,1,1,0.610808,0.633742,0.153067,1,0.281603,0.052017,0.243225,0.166469
24,0.507463,1,0,0.135135,0.333333,0.285714,0.357143,0.394737,0.142857,0.307692,0.611111,0.038462,0.73913,0.333333,0,0,0,0.363636,0.625,0.770492,0.75,0.365981,0.880006,0.252556,0.6342,0.599034,0.180543,0.895337,0.369591,0.029776,0.249289,0.20726
25,0.223881,0.192308,0,0.486486,0.666667,0.142857,0.821429,0.157895,0.285714,0.153846,0.666667,0.038462,0.543478,0.25,0,0,0.111111,0.181818,0.6875,0.57377,0.553571,0.407619,0.752399,0.180677,0.439106,0.597706,0.137556,0.809037,0.416552,0.028163,0.276561,0.228009
26,0.537313,0.269231,0,0.378378,0.833333,0,0.642857,0.289474,0.285714,0.269231,0.277778,0,0.847826,0.583333,0,0,0.333333,0.090909,0.8125,0.508197,0.696429,0.440898,0.719664,0.07737,0.493513,0.493656,0.301622,0.7021,0.496968,0.030323,0.293923,0.2796
27,0.38806,0.230769,0,0.216216,0.166667,0.142857,0.285714,0.815789,0,0.307692,0.5,0.153846,0.73913,0.333333,0,0,0.222222,0.181818,0.625,0.442623,0.598214,0.491173,0.786226,0.061295,0.396493,0.689363,0.169942,0.839995,0.472494,0.034152,0.399133,0.319864
