,admin_level,centroid_lat,centroid_lon,color,date,demography_type,geomaster_id,geomaster_name,households,individuals,individuals_type,lat_max,lat_min,lon_max,lon_min,month,numChildren,population_group_id,population_groups,population_groups_concat,published,source,year
0,District,3.0398871,35.6207049,#3c8dbc,2018-10-31,1,6163,Turkana,22632,107672,2,5.4253357903935,0.73885827173606,38.57773615,33.6744158375,10,0,4949,"[{'id': '4949', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR)",False,UNHCR,2018
1,Province,-1.29147,36.8233,#3c8dbc,2018-08-31,1,1868,Nairobi,2500,5763,2,-0.85042175201124,-1.6365324708332,37.383938427734,36.180264111328,8,0,4949,"[{'id': '4949', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR)",False,UNHCR,2018
2,Province,-0.4532293,39.6460988,#3c8dbc,2018-08-31,1,6162,Garissa,280,956,2,2.9123472600325,-2.0246985960768,42.8228566125,37.9634816125,8,0,4949,"[{'id': '4949', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR)",False,UNHCR,2018
