,admin_level,centroid_lat,centroid_lon,color,date,demography_type,geomaster_id,geomaster_name,households,individuals,individuals_type,lat_max,lat_min,lon_max,lon_min,month,numChildren,population_group_id,population_groups,population_groups_concat,published,source,year
0,Region,7.83333,34.5,#3c8dbc,2018-08-31,1,1849,Gambela,0,401507,2,14.83333,0.83333,41.5,27.5,8,17,4949,"[{'id': '4949', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR)",False,UNHCR,2018
1,Region,10.7802889,35.56578620000005,#3c8dbc,2018-08-31,1,6035,Benishangul-Gumuz,0,17400,2,17.7802889,3.7802889,42.5657862,28.5657862,8,0,4949,"[{'id': '4949', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR)",False,UNHCR,2018
2,Region,6.5156911,36.95410700000002,#3c8dbc,2018-05-31,1,6034,SNNPR,0,2787,2,8.0046911,5.0266911,38.889807,35.018407,5,0,4949,"[{'id': '4949', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR)",False,UNHCR,2018
3,Region,9.00038,38.7507,#3c8dbc,2018-08-31,1,1841,Addis Ababa,0,546,2,16.00038,2.00038,45.7507,31.7507,8,1,4949,"[{'id': '4949', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR)",False,UNHCR,2018
