,Central Equatoria,Eastern Equatoria,Gogrial,Jonglei,Lakes,Northern Bahr el Ghazal,Unity,Upper Nile,Warrap,Western Bahr el Ghazal,Western Equatoria,Battle-Government regains territory,Battle-No change of territory,Battle-Non-state actor overtakes territory,Headquarters or base established,Non-violent transfer of territory,Remote violence,Riots/Protests,Strategic development,Violence against civilians,total_events_y,total_refugees,refugees_move_out,out_to_DRC,out_to_Ethiopia,out_to_Kenya,out_to_Sudan,out_to_uganda,cereals and tubers,non-food,oil and fats,pulses and nuts
0,0.04477611940298507,0.038461538461538464,0.0,0.08108108108108109,1.0,0.14285714285714285,0.25,0.3684210526315789,0.0,0.038461538461538464,0.1111111111111111,0.0,0.2608695652173913,0.08333333333333333,0.0,0.0,0.3333333333333333,0.8181818181818182,0.0,0.04918032786885246,0.10714285714285715,0.0,0.5930334897531966,0.0005211465223491683,1.0,1.0,0.1839379547291835,0.6740897246927721,0.0013433188683400071,0.0,0.0,0.00043550336740203616
1,0.01492537313432836,0.11538461538461539,0.0,0.32432432432432434,0.16666666666666666,0.0,0.07142857142857142,0.3157894736842105,0.2857142857142857,0.11538461538461539,0.16666666666666666,0.07692307692307693,0.19565217391304346,0.08333333333333333,0.0,0.0,0.6666666666666666,0.5454545454545454,0.0,0.0,0.07142857142857145,0.0,0.5893402810622294,0.0005211465223491683,1.0,1.0,0.1839379547291835,0.6740897246927721,0.008924843807033789,6.934078257324794e-05,0.006411613885342175,0.003143627028563748
2,0.0,0.19230769230769232,0.0,0.2972972972972973,0.5,0.0,0.07142857142857142,0.15789473684210525,0.8571428571428571,0.15384615384615385,0.2222222222222222,0.038461538461538464,0.21739130434782605,0.08333333333333333,0.0,0.0,0.4444444444444444,0.18181818181818182,0.125,0.1311475409836066,0.10714285714285715,0.013018743882613426,0.6403234230862558,0.0005211465223491683,0.2870601780348768,0.6818383003835939,0.2254547291835085,0.6747445661846242,0.0,9.410534777797974e-05,0.00015882871045526034,0.0
3,0.05970149253731343,0.07692307692307693,0.0,0.10810810810810811,0.5,0.14285714285714285,0.42857142857142855,0.42105263157894735,0.14285714285714285,0.3076923076923077,0.16666666666666666,0.0,0.3043478260869565,0.08333333333333333,0.0,0.0,0.6666666666666666,0.2727272727272727,0.3125,0.19672131147540983,0.2232142857142857,0.013798513763857323,0.5923939641947942,0.0005211465223491683,0.36443795456460076,0.6818383003835939,0.2254547291835085,0.6747445661846242,0.007389642528828018,0.0001601441883239301,0.001227312762608835,0.002488730715856046
4,0.029850746268656712,0.19230769230769232,0.0,0.2702702702702703,0.16666666666666666,0.0,0.25,0.5263157894736842,0.2857142857142857,0.038461538461538464,0.1111111111111111,0.0,0.17391304347826086,0.0,0.0,0.0,1.0,0.18181818181818182,0.25,0.19672131147540983,0.16964285714285715,0.017702614145708284,0.6046292602478316,0.0005211465223491683,0.44797955687849256,0.6818383003835939,0.2254547291835085,0.6747445661846242,0.004423632568780082,0.0001577667900642761,0.009189375390625813,0.0010842389198117523
5,0.05970149253731343,0.19230769230769232,0.0,0.21621621621621623,0.25,0.14285714285714285,0.35714285714285715,0.4473684210526315,0.42857142857142855,0.19230769230769232,0.2777777777777778,0.07692307692307693,0.45652173913043476,0.25,0.0,0.0,0.6666666666666666,0.5454545454545454,0.0625,0.09836065573770494,0.2589285714285714,0.031555212958567724,0.6435889105034361,0.0,0.3601274886973126,0.7030097373856594,0.198464025869038,0.677402720672456,0.004820547863806521,0.00023031045640400276,0.006087058760434739,0.00041783734871956094
6,0.01492537313432836,0.038461538461538464,0.0,0.16216216216216217,0.5833333333333333,0.42857142857142855,0.5714285714285714,0.5,0.14285714285714285,0.07692307692307693,0.05555555555555555,0.07692307692307693,0.45652173913043476,0.0,0.0,0.0,0.7777777777777777,0.09090909090909091,0.25,0.09836065573770494,0.2232142857142857,0.03356423623509247,0.5972078848771741,0.0005211465223491683,0.39730701187835216,0.7030097373856594,0.198464025869038,0.677402720672456,0.023026902183261345,0.0005770143692702435,0.010179476442814441,0.012350211843832764
7,0.029850746268656712,0.0,0.0,0.1891891891891892,0.5,0.5714285714285714,0.75,0.9473684210526315,0.8571428571428571,0.19230769230769232,0.5,0.38461538461538464,0.6739130434782608,1.0,0.0,1.0,0.2222222222222222,0.18181818181818182,0.0625,0.34426229508196726,0.5714285714285714,0.037593834934530834,0.605120728442231,0.0005211465223491683,0.45133526157647913,0.7030097373856594,0.198464025869038,0.677402720672456,0.022878568988056312,0.0029186415902954076,0.013829648988549891,0.016898402566536953
8,0.01492537313432836,0.038461538461538464,0.0,0.16216216216216217,0.75,0.5714285714285714,0.42857142857142855,0.42105263157894735,0.2857142857142857,0.42307692307692313,0.4444444444444444,0.038461538461538464,0.49999999999999994,0.6666666666666666,0.0,1.0,0.4444444444444444,0.6363636363636364,0.0625,0.14754098360655737,0.3392857142857143,0.07832670310143625,0.7488556399573925,0.0005211465223491683,0.3754879110387239,0.7002803186780762,0.4272635408245756,0.6885236176455825,0.026381737528644915,0.0026656427898098982,0.020309860375124538,0.027426032840768323
9,0.17910447761194032,0.07692307692307693,0.0,0.24324324324324326,1.0,0.42857142857142855,0.2857142857142857,0.2631578947368421,0.42857142857142855,0.07692307692307693,0.38888888888888884,0.0,0.2391304347826087,0.16666666666666666,0.0,1.0,0.3333333333333333,0.4545454545454546,0.375,0.3934426229508197,0.3214285714285714,0.08232532104465012,0.6049994036578394,0.0005211465223491683,0.45050686585605565,0.7002803186780762,0.4272635408245756,0.6885236176455825,0.030229161714896875,0.0024750306818704495,0.027910536119092656,0.025719136089357195
10,0.1044776119402985,0.2692307692307693,0.0,0.24324324324324326,0.41666666666666663,0.0,0.7857142857142857,0.2894736842105263,0.2857142857142857,0.15384615384615385,0.5555555555555556,0.0,0.7826086956521738,0.3333333333333333,0.0,0.0,0.1111111111111111,0.6363636363636364,0.0625,0.19672131147540983,0.4017857142857143,0.08488884734783725,0.5993793928825535,0.0005211465223491683,0.41213389121338906,0.7002803186780762,0.4272635408245756,0.6885236176455825,0.0302774414700814,0.0027833119966008653,0.028141559697936667,0.028586934668591444
11,0.13432835820895522,0.0,0.0,0.21621621621621623,0.5,0.0,0.6428571428571428,0.631578947368421,0.0,0.0,0.38888888888888884,0.11538461538461539,0.41304347826086957,0.08333333333333333,0.0,0.0,0.6666666666666666,0.09090909090909091,0.0625,0.40983606557377056,0.3571428571428571,0.09379240162822255,0.6242077902849693,0.0005211465223491683,0.36150346802954136,0.419408380053113,0.1570129345189976,0.6919073456330971,0.02637544016927299,0.002958540056458586,0.0341597239268233,0.024660718745573264
12,0.13432835820895522,0.0,0.0,0.13513513513513514,0.41666666666666663,0.2857142857142857,0.8571428571428571,0.21052631578947367,0.8571428571428571,0.15384615384615385,0.2777777777777778,0.0,0.3695652173913044,0.08333333333333333,0.0,0.0,0.3333333333333333,0.4545454545454546,0.3125,0.34426229508196726,0.3214285714285714,0.09387799253101226,0.5896754664835142,0.0005211465223491683,0.3458762741849428,0.419408380053113,0.1570129345189976,0.6919073456330971,0.03584037130522622,0.00493145041776886,0.027953853040125914,0.029313160926179384
13,0.07462686567164178,0.19230769230769232,0.0,0.2702702702702703,0.3333333333333333,0.0,0.5,0.15789473684210525,0.0,0.38461538461538464,0.5555555555555556,0.07692307692307693,0.3695652173913044,0.08333333333333333,0.0,0.0,0.6666666666666666,0.18181818181818182,0.0625,0.3114754098360656,0.2857142857142857,0.08989355222200285,0.5737366799781204,0.0005211465223491683,0.23704754148998902,0.419408380053113,0.1570129345189976,0.6919073456330971,0.051473116134563617,0.004331689336755011,0.03901541951125388,0.03175953623914907
14,0.029850746268656712,0.2692307692307693,0.0,0.08108108108108109,0.3333333333333333,0.0,0.14285714285714285,0.21052631578947367,0.14285714285714285,0.5,1.0,0.0,0.43478260869565216,0.08333333333333333,0.0,1.0,0.5555555555555556,0.0,0.0,0.27868852459016397,0.25,0.09804411659686368,0.6212589811185734,0.15337743034676288,0.34737861896604977,0.8019327235172617,0.13707053354890866,0.6675732532616583,0.061725667003386976,0.00589974491727386,0.04363169065942793,0.046535855166349435
15,0.19402985074626866,0.0,0.0,0.13513513513513514,0.0,0.14285714285714285,0.0,0.10526315789473684,0.5714285714285714,0.42307692307692313,0.8333333333333333,0.0,0.2608695652173913,0.0,0.5,0.0,0.5555555555555556,0.0,0.0,0.3114754098360656,0.1875,0.10282670520182652,0.6080695376086268,0.045820805772699945,0.36300581281064837,0.6307170256712895,0.15651778496362168,0.6583301770125538,0.07007323667478754,0.008128084079695792,0.0574868047470095,0.053162007151641086
16,0.01492537313432836,0.038461538461538464,0.0,0.24324324324324326,0.16666666666666666,0.0,0.03571428571428571,0.15789473684210525,0.7142857142857142,0.5384615384615385,1.0,0.0,0.3695652173913044,0.0,0.0,0.0,0.1111111111111111,0.18181818181818182,0.3125,0.26229508196721313,0.2232142857142857,0.09345108821218984,0.5526241111417279,0.0005211465223491683,0.3378450478784645,0.6532531720271466,0.0,0.6727640699653641,0.09289197325195453,0.008678093280242782,0.0919828254971273,0.06254463836281406
17,0.029850746268656712,0.07692307692307693,0.0,0.2972972972972973,0.16666666666666666,1.0,0.25,0.3157894736842105,0.5714285714285714,0.15384615384615385,0.1111111111111111,0.038461538461538464,0.3043478260869565,0.0,0.0,0.0,0.3333333333333333,0.4545454545454546,0.0,0.2295081967213115,0.1875,0.1308238570726441,0.7356970417316131,0.24846662657847265,0.35775462637948946,0.6414133962820892,0.37694523039611966,0.6890575302208207,0.1304518985085269,0.010605012306172841,0.09392552377377017,0.08646663730619338
18,0.07462686567164178,0.0,0.0,0.1891891891891892,0.25,0.7142857142857142,0.3214285714285714,0.05263157894736842,0.2857142857142857,0.6538461538461539,0.38888888888888884,0.0,0.47826086956521735,0.0,0.0,0.0,0.5555555555555556,0.36363636363636365,0.375,0.0655737704918033,0.2232142857142857,0.10944450978991899,0.5056158980707304,0.0005612347163760274,0.3476594310746679,0.6836087341398642,0.13773241713823767,0.5549313899524042,0.12926821209693443,0.009021111989953555,0.09151902816081169,0.09030923458918383
19,0.1492537313432836,0.23076923076923078,0.0,0.16216216216216217,0.16666666666666666,0.2857142857142857,0.10714285714285714,0.07894736842105263,0.7142857142857142,0.23076923076923078,0.16666666666666666,0.038461538461538464,0.08695652173913043,0.0,0.0,0.0,0.0,0.36363636363636365,0.4375,0.2295081967213115,0.125,0.13842096861596886,0.7028159688092487,0.0005211465223491683,0.36255651343685935,0.6577161404544113,0.1533801535974131,0.7658565189812766,0.14257011705983713,0.009771822267951428,0.1243261265352895,0.10101089110525498
20,0.13432835820895522,0.07692307692307693,0.0,0.05405405405405406,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.02631578947368421,0.0,0.6153846153846154,0.1111111111111111,0.0,0.21739130434782605,0.0,0.0,0.0,0.0,0.09090909090909091,0.25,0.1311475409836066,0.0625,0.13432888330651838,0.573315127761167,0.0005211465223491683,0.34572182752520286,0.0,0.1479890864995958,0.668022743763034,0.13125703442586845,0.01473243984029475,0.13248079215418257,0.09135893356742518
21,0.9999999999999999,0.8846153846153847,0.0,0.10810810810810811,0.16666666666666666,0.5714285714285714,0.2142857142857143,0.07894736842105263,0.42857142857142855,0.5,0.2222222222222222,0.15384615384615385,0.9782608695652175,0.3333333333333333,0.0,1.0,0.7777777777777777,1.0,0.5625,0.5245901639344264,0.8660714285714286,0.14319463056235848,0.6240597329209662,0.0005211465223491683,0.26625200078627387,0.6311227500737681,0.1935276879547292,0.6776354517949958,0.24253603237797183,0.0225470351853889,0.2139877636261251,0.1752153026469862
22,0.3134328358208955,0.3076923076923077,0.0,0.13513513513513514,0.16666666666666666,0.14285714285714285,0.4642857142857143,0.2894736842105263,0.14285714285714285,0.11538461538461539,0.2777777777777778,0.11538461538461539,0.43478260869565216,0.16666666666666666,0.0,0.0,0.6666666666666666,0.2727272727272727,0.3125,0.2459016393442623,0.3392857142857143,0.18689535015605901,0.7604781430316391,0.6471437161755863,0.3619948892196231,0.683830038359398,0.1430325383993533,0.7961822969192788,0.38934651494444106,0.03136833133282555,0.2781143225430445,0.23047225436058436
23,0.7462686567164178,0.34615384615384615,0.0,0.10810810810810811,0.08333333333333333,0.2857142857142857,0.4642857142857143,0.13157894736842105,0.2857142857142857,0.23076923076923078,0.6666666666666666,0.11538461538461539,0.5869565217391304,0.25,0.0,0.0,0.1111111111111111,0.4545454545454546,0.625,0.639344262295082,0.6428571428571428,0.29175890880525607,1.0,1.0,0.6108084580607115,0.6337415166715845,0.15306689571544058,1.0,0.28160310679247275,0.052016868565196016,0.24322451160171532,0.1664692061001283
24,0.5074626865671642,1.0,0.0,0.13513513513513514,0.3333333333333333,0.2857142857142857,0.35714285714285715,0.39473684210526316,0.14285714285714285,0.3076923076923077,0.611111111111111,0.038461538461538464,0.7391304347826086,0.3333333333333333,0.0,0.0,0.0,0.36363636363636365,0.625,0.7704918032786885,0.75,0.36598144935328986,0.8800056755322868,0.2525556223692123,0.6342001067086012,0.5990336382413691,0.18054264349232013,0.8953371635095854,0.36959118188840695,0.02977553739299108,0.24928888054637077,0.20725979772158368
25,0.22388059701492538,0.19230769230769232,0.0,0.4864864864864865,0.6666666666666666,0.14285714285714285,0.8214285714285714,0.15789473684210525,0.2857142857142857,0.15384615384615385,0.6666666666666666,0.038461538461538464,0.5434782608695652,0.25,0.0,0.0,0.1111111111111111,0.18181818181818182,0.6875,0.5737704918032787,0.5535714285714286,0.4076190606214634,0.7523987349320786,0.18067749047905393,0.43910589424615987,0.5977058129241664,0.1375555780113177,0.8090372689230938,0.4165516927624933,0.02816308903632745,0.2765612140289068,0.2280091193669541
26,0.5373134328358209,0.2692307692307693,0.0,0.3783783783783784,0.8333333333333333,0.0,0.6428571428571428,0.2894736842105263,0.2857142857142857,0.2692307692307693,0.2777777777777778,0.0,0.8478260869565217,0.5833333333333333,0.0,0.0,0.3333333333333333,0.09090909090909091,0.8125,0.5081967213114755,0.6964285714285714,0.4408976437822147,0.7196636630214396,0.07737021447183805,0.49351324029092125,0.49365594570669813,0.3016218674211803,0.7020995997937364,0.49696765999168085,0.030323109445851242,0.29392263597903456,0.2795997076623409
27,0.38805970149253727,0.23076923076923078,0.0,0.21621621621621623,0.16666666666666666,0.14285714285714285,0.2857142857142857,0.8157894736842105,0.0,0.3076923076923077,0.5,0.15384615384615385,0.7391304347826086,0.3333333333333333,0.0,0.0,0.2222222222222222,0.18181818181818182,0.625,0.4426229508196721,0.5982142857142857,0.4911731099638313,0.786225729902241,0.06129484866706755,0.3964926567633596,0.6893626438477427,0.16994240097008895,0.8399950715762285,0.47249363567275776,0.03415198638833834,0.39913334071325324,0.31986384501233756
28,0.2835820895522388,0.3076923076923077,0.0,0.5945945945945946,0.16666666666666666,0.14285714285714285,0.2857142857142857,0.7368421052631579,0.0,0.15384615384615385,0.2222222222222222,0.19230769230769232,0.6739130434782608,0.0,0.0,0.0,1.0,0.0,0.6875,0.3934426229508197,0.5714285714285714,0.5526273781668634,0.8300034135447812,0.1344558027660854,0.4347813877734408,0.6995426379462968,0.27096806790622474,0.8319316226835267,0.5025216887515597,0.035687389431031696,0.4078172603491344,0.37901929521959454
29,0.4626865671641791,0.42307692307692313,0.0,0.40540540540540543,0.41666666666666663,0.0,0.39285714285714285,0.3421052631578947,0.42857142857142855,0.38461538461538464,0.5,0.07692307692307693,0.5652173913043479,0.16666666666666666,0.0,0.0,0.2222222222222222,0.5454545454545454,0.6875,0.7049180327868854,0.6785714285714286,0.5866647273063335,0.7199433269312232,0.11733814391661657,0.5093229620061217,0.6796621422248451,0.31884599838318517,0.8079899788716648,0.5617943728088416,0.03559576053977419,0.4482001819310683,0.43792699112374367
30,0.34328358208955223,0.5384615384615385,0.0,1.0,0.6666666666666666,0.42857142857142855,0.3214285714285714,0.4473684210526315,1.0,0.8076923076923077,0.2777777777777778,0.3076923076923077,0.8913043478260869,0.3333333333333333,0.0,0.0,0.1111111111111111,0.5454545454545454,0.4375,1.0000000000000002,1.0,0.6476978672637377,0.7004449946329205,0.0005211465223491683,0.47777372160287546,0.6669002655650634,0.11015056588520614,0.7634561940703761,0.7232678709370727,0.03628070713906172,0.516467649479475,0.5296295822387014
31,0.5373134328358209,0.15384615384615385,0.0,0.3783783783783784,0.9166666666666666,0.0,0.25,0.5263157894736842,0.5714285714285714,0.2692307692307693,0.5,0.07692307692307693,1.0,0.08333333333333333,0.0,0.0,0.0,0.2727272727272727,1.0,0.45901639344262296,0.7142857142857142,0.6804539783491772,0.7176175925050072,0.08626979354580076,0.37911038723989776,0.7665609324284449,0.25203112368633795,0.7234264409935337,0.8078651435022874,0.03787395045033551,0.560015594091572,0.637715834372482
