,date,timestamp,individuals,to,Year,Month,Day
224,2017-03-31,1490918400,852278,Uganda,2017,03,31
121,2017-03-31,1490918400,95283,Kenya,2017,03,31
168,2017-03-31,1490918400,379692,Sudan,2017,03,31
80,2017-03-31,1490918400,366198,Ethiopia,2017,03,31
31,2017-04-30,1493510400,77356,DRC,2017,04,30
169,2017-04-30,1493510400,375719,Sudan,2017,04,30
122,2017-04-30,1493510400,97147,Kenya,2017,04,30
225,2017-04-30,1493510400,898860,Uganda,2017,04,30
81,2017-04-30,1493510400,375755,Ethiopia,2017,04,30
170,2017-05-31,1496188800,399827,Sudan,2017,05,31
32,2017-05-31,1496188800,79495,DRC,2017,05,31
82,2017-05-31,1496188800,378285,Ethiopia,2017,05,31
123,2017-05-31,1496188800,101713,Kenya,2017,05,31
226,2017-05-31,1496188800,927898,Uganda,2017,05,31
124,2017-06-30,1498780800,105899,Kenya,2017,06,30
227,2017-06-30,1498780800,977742,Uganda,2017,06,30
33,2017-06-30,1498780800,80775,DRC,2017,06,30
83,2017-06-30,1498780800,380818,Ethiopia,2017,06,30
171,2017-06-30,1498780800,406995,Sudan,2017,06,30
84,2017-07-31,1501459200,382322,Ethiopia,2017,07,31
172,2017-07-31,1501459200,416829,Sudan,2017,07,31
125,2017-07-31,1501459200,107899,Kenya,2017,07,31
34,2017-07-31,1501459200,82322,DRC,2017,07,31
228,2017-07-31,1501459200,994638,Uganda,2017,07,31
35,2017-08-31,1504137600,84352,DRC,2017,08,31
173,2017-08-31,1504137600,459811,Sudan,2017,08,31
126,2017-08-31,1504137600,109222,Kenya,2017,08,31
85,2017-08-31,1504137600,388086,Ethiopia,2017,08,31
229,2017-08-31,1504137600,1013682,Uganda,2017,08,31
174,2017-09-01,1504224000,459811,Sudan,2017,09,01
175,2017-09-15,1505433600,460588,Sudan,2017,09,15
176,2017-09-18,1505692800,460588,Sudan,2017,09,18
127,2017-09-30,1506729600,110377,Kenya,2017,09,30
230,2017-09-30,1506729600,1037102,Uganda,2017,09,30
36,2017-09-30,1506729600,85426,DRC,2017,09,30
86,2017-09-30,1506729600,416887,Ethiopia,2017,09,30
177,2017-10-01,1506816000,456021,Sudan,2017,10,01
178,2017-10-15,1508025600,458225,Sudan,2017,10,15
37,2017-10-31,1509408000,87199,DRC,2017,10,31
231,2017-10-31,1509408000,1037328,Uganda,2017,10,31
87,2017-10-31,1509408000,418892,Ethiopia,2017,10,31
179,2017-10-31,1509408000,458373,Sudan,2017,10,31
180,2017-11-15,1510704000,802804,Sudan,2017,11,15
88,2017-11-30,1512000000,420010,Ethiopia,2017,11,30
128,2017-11-30,1512000000,110910,Kenya,2017,11,30
232,2017-11-30,1512000000,1053245,Uganda,2017,11,30
181,2017-11-30,1512000000,802665,Sudan,2017,11,30
38,2017-11-30,1512000000,88140,DRC,2017,11,30
182,2017-12-15,1513296000,784911,Sudan,2017,12,15
129,2017-12-19,1513641600,111361,Kenya,2017,12,19
89,2017-12-31,1514678400,421867,Ethiopia,2017,12,31
39,2017-12-31,1514678400,88970,DRC,2017,12,31
130,2017-12-31,1514678400,111612,Kenya,2017,12,31
233,2017-12-31,1514678400,1037894,Uganda,2017,12,31
183,2017-12-31,1514678400,765706,Sudan,2017,12,31
184,2018-01-15,1515974400,767475,Sudan,2018,01,15
185,2018-01-31,1517356800,767425,Sudan,2018,01,31
90,2018-01-31,1517356800,428928,Ethiopia,2018,01,31
40,2018-01-31,1517356800,90003,DRC,2018,01,31
131,2018-01-31,1517356800,112425,Kenya,2018,01,31
132,2018-02-15,1518652800,113030,Kenya,2018,02,15
234,2018-02-28,1519776000,1053598,Uganda,2018,02,28
91,2018-02-28,1519776000,435083,Ethiopia,2018,02,28
186,2018-02-28,1519776000,771376,Sudan,2018,02,28
133,2018-02-28,1519776000,113039,Kenya,2018,02,28
187,2018-03-15,1521072000,767992,Sudan,2018,03,15
134,2018-03-15,1521072000,113388,Kenya,2018,03,15
188,2018-03-31,1522454400,768830,Sudan,2018,03,31
135,2018-03-31,1522454400,114090,Kenya,2018,03,31
92,2018-03-31,1522454400,440319,Ethiopia,2018,03,31
41,2018-03-31,1522454400,91038,DRC,2018,03,31
136,2018-04-15,1523750400,114547,Kenya,2018,04,15
189,2018-04-15,1523750400,771862,Sudan,2018,04,15
42,2018-04-30,1525046400,91351,DRC,2018,04,30
93,2018-04-30,1525046400,440147,Ethiopia,2018,04,30
190,2018-04-30,1525046400,763112,Sudan,2018,04,30
137,2018-04-30,1525046400,113746,Kenya,2018,04,30
235,2018-04-30,1525046400,1061892,Uganda,2018,04,30
191,2018-05-15,1526342400,765243,Sudan,2018,05,15
138,2018-05-15,1526342400,114199,Kenya,2018,05,15
236,2018-05-31,1527724800,1067637,Uganda,2018,05,31
139,2018-05-31,1527724800,114689,Kenya,2018,05,31
43,2018-05-31,1527724800,92700,DRC,2018,05,31
94,2018-05-31,1527724800,443352,Ethiopia,2018,05,31
192,2018-05-31,1527724800,763144,Sudan,2018,05,31
193,2018-06-15,1529020800,766064,Sudan,2018,06,15
95,2018-06-30,1530316800,445481,Ethiopia,2018,06,30
194,2018-06-30,1530316800,767822,Sudan,2018,06,30
140,2018-06-30,1530316800,114466,Kenya,2018,06,30
237,2018-06-30,1530316800,1065094,Uganda,2018,06,30
44,2018-06-30,1530316800,93087,DRC,2018,06,30
238,2018-07-31,1532995200,1073125,Uganda,2018,07,31
96,2018-07-31,1532995200,446711,Ethiopia,2018,07,31
45,2018-07-31,1532995200,93564,DRC,2018,07,31
141,2018-07-31,1532995200,114542,Kenya,2018,07,31
142,2018-08-15,1534291200,114817,Kenya,2018,08,15
195,2018-08-15,1534291200,761331,Sudan,2018,08,15
97,2018-08-31,1535673600,422240,Ethiopia,2018,08,31
196,2018-08-31,1535673600,762125,Sudan,2018,08,31
143,2018-08-31,1535673600,114765,Kenya,2018,08,31
46,2018-08-31,1535673600,93995,DRC,2018,08,31
197,2018-09-15,1536969600,761889,Sudan,2018,09,15
198,2018-09-30,1538265600,763270,Sudan,2018,09,30
144,2018-09-30,1538265600,114830,Kenya,2018,09,30
47,2018-09-30,1538265600,94446,DRC,2018,09,30
145,2018-10-31,1540944000,114391,Kenya,2018,10,31
48,2018-10-31,1540944000,95181,DRC,2018,10,31
199,2018-10-31,1540944000,764400,Sudan,2018,10,31
239,2018-10-31,1540944000,785104,Uganda,2018,10,31
