,admin_level,centroid_lat,centroid_lon,color,date,demography_type,geomaster_id,geomaster_name,households,individuals,individuals_type,lat_max,lat_min,lon_max,lon_min,month,numChildren,population_group_id,population_groups,population_groups_concat,published,source,year
0,Province,3.5845154,28.299435,#3c8dbc,2018-10-31,1,4826,Haut-Uele,0,49554,2,5.1866504417685,2.2763552727767,30.8623046875,26.55224609375,10,0,"4949, 4768, 5075","[{'id': '4768', 'name': 'Registered refugees from South Sudan (rural/dispersed areas, UNHCR)', 'pop_accommodation_code': 'R', 'pop_accommodation_name': 'Rural/Dispersed Areas', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}, {'id': '4949', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}, {'id': '5075', 'name': 'Registered refugees from South Sudan (rural/dispersed areas)', 'pop_accommodation_code': 'R', 'pop_accommodation_name': 'Rural/Dispersed Areas', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR), Registered refugees from South Sudan (rural/dispersed areas, UNHCR), Registered refugees from South Sudan (rural/dispersed areas)",False,UNHCR,2018
1,Province,1.85,29.966667,#3c8dbc,2018-10-31,1,4827,Ituri,0,45528,1,4.0477992916745,0.62899251377087,31.45556640625,28.7275390625,10,0,"4768, 4949, 5075","[{'id': '4768', 'name': 'Registered refugees from South Sudan (rural/dispersed areas, UNHCR)', 'pop_accommodation_code': 'R', 'pop_accommodation_name': 'Rural/Dispersed Areas', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}, {'id': '4949', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}, {'id': '5075', 'name': 'Registered refugees from South Sudan (rural/dispersed areas)', 'pop_accommodation_code': 'R', 'pop_accommodation_name': 'Rural/Dispersed Areas', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan (rural/dispersed areas, UNHCR), Registered refugees from South Sudan  (refugee camps/centers, UNHCR), Registered refugees from South Sudan (rural/dispersed areas)",False,UNHCR,2018
2,Province,-5.44102,15.9961,#3c8dbc,2018-05-31,1,4837,Kinshasa,0,50,1,1.55898,-12.44102,22.9961,8.9961,5,1,4768,"[{'id': '4768', 'name': 'Registered refugees from South Sudan (rural/dispersed areas, UNHCR)', 'pop_accommodation_code': 'R', 'pop_accommodation_name': 'Rural/Dispersed Areas', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan (rural/dispersed areas, UNHCR)",False,UNHCR,2018
3,Province,3.9901009,24.904220799999962,#3c8dbc,2017-12-31,1,4810,Bas-Uele,0,49,1,6.126862843542,2.6495447022079,26.423828125,22.794921875,12,0,4768,"[{'id': '4768', 'name': 'Registered refugees from South Sudan (rural/dispersed areas, UNHCR)', 'pop_accommodation_code': 'R', 'pop_accommodation_name': 'Rural/Dispersed Areas', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan (rural/dispersed areas, UNHCR)",False,UNHCR,2017
